,equity
2019-06-11,1382.9590022037569
2019-06-12,1385.6725391170567
2019-06-13,1392.0516474811616
2019-06-14,1398.7746787410802
2019-06-17,1400.015203200156
2019-06-18,1402.603329297263
2019-06-19,1410.043040673453
2019-06-20,1428.689683266074
2019-06-21,1424.6537017139494
2019-06-24,1425.3896802311006
2019-06-25,1407.6507994625154
2019-06-26,1404.2293319469518
2019-06-27,1404.9472357532563
2019-06-28,1410.3818993602813
2019-07-01,1422.3043543453277
2019-07-02,1427.6946441913665
2019-07-03,1442.2271275714938
2019-07-05,1438.043729056937
2019-07-08,1441.1140721477573
2019-07-09,1437.0641333995882
2019-07-10,1445.811287789542
2019-07-11,1456.1413655437536
2019-07-12,1464.7514502681797
2019-07-15,1466.787995903403
2019-07-16,1458.9030588748997
2019-07-17,1454.195697166068
2019-07-18,1455.9254623119418
2019-07-19,1449.7508965839452
2019-07-22,1452.975320547623
2019-07-23,1461.0847280168118
2019-07-24,1465.485496089453
2019-07-25,1452.0751293919457
2019-07-26,1457.0182590985191
2019-07-29,1457.0481659466636
2019-07-30,1453.3102251540872
2019-07-31,1433.8259398288615
2019-08-01,1425.6046622437123
2019-08-02,1424.8869820087139
2019-08-05,1424.8869820087139
2019-08-06,1424.8869820087139
2019-08-07,1424.8869820087139
2019-08-08,1424.8869820087139
2019-08-09,1424.8869820087139
2019-08-12,1424.8869820087139
2019-08-13,1424.8869820087139
2019-08-14,1424.8869820087139
2019-08-15,1424.8869820087139
2019-08-16,1424.8869820087139
2019-08-19,1423.9957067208898
2019-08-20,1417.4391303125035
2019-08-21,1417.953760286487
2019-08-22,1418.7392288265428
2019-08-23,1396.6240146507464
2019-08-26,1408.212929492589
2019-08-27,1402.3499243870463
2019-08-28,1414.8466156017985
2019-08-29,1431.7091834644998
2019-08-30,1432.5517631547536
2019-09-03,1416.3814187486255
2019-09-04,1431.0058545003499
2019-09-05,1444.0153069704013
2019-09-06,1449.321291857715
2019-09-09,1448.096723196979
2019-09-10,1454.9196175451953
2019-09-11,1475.2804753585524
2019-09-12,1473.5016337392515
2019-09-13,1469.4944515803998
2019-09-16,1459.5923306710904
2019-09-17,1467.5863265231794
2019-09-18,1473.5508744088836
2019-09-19,1464.3777880561538
2019-09-20,1446.7280188445502
2019-09-23,1449.0196693028465
2019-09-24,1452.3550503949177
2019-09-25,1459.8569148800862
2019-09-26,1455.2964370749078
2019-09-27,1447.9866437514734
2019-09-30,1453.200224474282
2019-10-01,1446.3740059607935
2019-10-02,1423.8921022882182
2019-10-03,1418.0185314698542
2019-10-04,1418.0185314698542
2019-10-07,1418.8668920796263
2019-10-08,1412.7993535947426
2019-10-09,1418.8133545130356
2019-10-10,1426.013046029329
2019-10-11,1437.4988777894496
2019-10-14,1434.7478884771242
2019-10-15,1444.369683088912
2019-10-16,1440.754591662063
2019-10-17,1445.779736879294
2019-10-18,1438.948304833855
2019-10-21,1454.943094292135
2019-10-22,1456.2722054618546
2019-10-23,1458.8862733922192
2019-10-24,1458.9291141312785
2019-10-25,1469.5456218339152
2019-10-28,1478.534369596977
2019-10-29,1459.5211996621797
2019-10-30,1463.9426220773407
2019-10-31,1449.9677268734104
2019-11-01,1462.109820119221
2019-11-04,1467.6492076490838
2019-11-05,1465.6643121566876
2019-11-06,1462.130201139021
2019-11-07,1465.378087307406
2019-11-08,1463.6303729368215
2019-11-11,1458.7006049692636
2019-11-12,1466.7503003062254
2019-11-13,1470.0727428708558
2019-11-14,1472.1564591509346
2019-11-15,1473.7038045328961
2019-11-18,1483.6902383165593
2019-11-19,1467.6400385621123
2019-11-20,1471.0285811433005
2019-11-21,1468.3673917516396
2019-11-22,1476.1973792085814
2019-11-25,1496.2254220350433
2019-11-26,1491.9875895920445
2019-11-27,1494.3721187693761
2019-11-29,1489.648184923475
2019-12-02,1469.7347611926334
2019-12-03,1452.7058000700385
2019-12-04,1464.6277676835011
2019-12-05,1471.295724173705
2019-12-06,1477.6692044952076
2019-12-09,1475.6371631597865
2019-12-10,1475.1196346773493
2019-12-11,1479.3379606806147
2019-12-12,1481.5310870279925
2019-12-13,1484.1515867885491
2019-12-16,1495.5726255460163
2019-12-17,1500.6171623069185
2019-12-18,1500.5808351128003
2019-12-19,1513.5006298091312
2019-12-20,1518.4880965583702
2019-12-23,1519.4893883820437
2019-12-24,1520.1168347458265
2019-12-26,1526.7868283484358
2019-12-27,1526.5784024599457
2019-12-30,1512.2944803074738
2019-12-31,1519.7956000845334
2020-01-02,1526.9722371623893
2020-01-03,1504.8481699381468
2020-01-06,1505.7514465923905
2020-01-07,1503.5573482254479
2020-01-08,1507.9286859204265
2020-01-09,1517.0565629882785
2020-01-10,1512.739208632228
2020-01-13,1530.155876006982
2020-01-14,1523.0209061146709
2020-01-15,1519.19460452803
2020-01-16,1531.0384241201339
2020-01-17,1536.374054539245
2020-01-21,1536.8585186727937
2020-01-22,1536.7093286968168
2020-01-23,1536.0783094009269
2020-01-24,1526.8923428571093
2020-01-27,1498.7081151800444
2020-01-28,1500.35663779517
2020-01-29,1498.9374183162686
2020-01-30,1504.1273565119502
2020-01-31,1471.184896187216
2020-02-03,1477.3539782169576
2020-02-04,1496.6427984617962
2020-02-05,1507.6398747362866
2020-02-06,1515.0746581591382
2020-02-07,1508.425625030625
2020-02-10,1523.3444249779345
2020-02-11,1507.6983373121386
2020-02-12,1509.807106630791
2020-02-13,1510.1254617459977
2020-02-14,1516.4514772229877
2020-02-18,1521.740226402276
2020-02-19,1526.0795700717385
2020-02-20,1519.7203024473126
2020-02-21,1500.2996006531616
2020-02-24,1465.0963409277413
2020-02-25,1460.836377603343
2020-02-26,1460.836377603343
2020-02-27,1460.836377603343
2020-02-28,1460.836377603343
2020-03-02,1460.836377603343
2020-03-03,1460.836377603343
2020-03-04,1460.836377603343
2020-03-05,1460.836377603343
2020-03-06,1460.836377603343
2020-03-09,1460.836377603343
2020-03-10,1460.836377603343
2020-03-11,1460.836377603343
2020-03-12,1460.836377603343
2020-03-13,1460.836377603343
2020-03-16,1460.836377603343
2020-03-17,1460.836377603343
2020-03-18,1460.836377603343
2020-03-19,1460.836377603343
2020-03-20,1460.836377603343
2020-03-23,1460.836377603343
2020-03-24,1460.836377603343
2020-03-25,1460.836377603343
2020-03-26,1460.836377603343
2020-03-27,1460.836377603343
2020-03-30,1460.836377603343
2020-03-31,1460.836377603343
2020-04-01,1460.836377603343
2020-04-02,1460.836377603343
2020-04-03,1460.836377603343
2020-04-06,1460.836377603343
2020-04-07,1460.836377603343
2020-04-08,1460.836377603343
2020-04-09,1460.836377603343
2020-04-13,1460.836377603343
2020-04-14,1460.836377603343
2020-04-15,1460.836377603343
2020-04-16,1460.836377603343
2020-04-17,1460.836377603343
2020-04-20,1460.836377603343
2020-04-21,1460.836377603343
2020-04-22,1460.836377603343
2020-04-23,1460.836377603343
2020-04-24,1460.836377603343
